Name,Rarity,Slot,Outfit,Labels,Source,Style,Banner
Loaded with Hope,3,Backpiece,,Cute,One of the initial items acquired upon arrival in Miraland.,Sweet,
Vibrant Spirit,2,Hair,Guard's Resolve,Uniform,A reward from an adventure.,Cool,
Silverplume,2,Hair,,,A classic clothing piece from Marques Boutique.,Fresh,
Straight-A Student,2,Hair,,,A classic clothing piece from Marques Boutique.,Elegant,
Sunset Dance,2,Hair,,,A classic clothing piece from Marques Boutique.,Sexy,
Ten-Second Bun,2,Hair,,,A classic clothing piece from Marques Boutique.,Sweet,
Enchanting Night,2,Dress,,,A classic clothing piece from Marques Boutique.,Sexy,
Serene Green,2,Dress,,,A classic clothing piece from Marques Boutique.,Cool,
Woolfruit Growth,2,Outerwear,,,A classic clothing piece from Marques Boutique.,Fresh,
Dream Walker,2,Top,,,A classic clothing piece from Marques Boutique.,Cool,
Ethereal Lace,2,Top,,,A classic clothing piece from Marques Boutique.,Sweet,
Past Vines,2,Top,,,A classic clothing piece from Marques Boutique.,Sweet,
Starting Mood,2,Top,,,A classic clothing piece from Marques Boutique.,Fresh,
Summer Blackstar,2,Top,,,A classic clothing piece from Marques Boutique.,Sexy,
Green Slim-Fit Pants,2,Bottom,,,A classic clothing piece from Marques Boutique.,Cool,
Hoppy Berries,2,Bottom,,,A classic clothing piece from Marques Boutique.,Sweet,
Lively Youth,2,Bottom,,,A classic clothing piece from Marques Boutique.,Fresh,
Midsummer Print,2,Bottom,,,A classic clothing piece from Marques Boutique.,Fresh,
Shutters,2,Bottom,,,A classic clothing piece from Marques Boutique.,Cool,
Sleek Pants,2,Bottom,,,A classic clothing piece from Marques Boutique.,Elegant,
Down-to-Earth,2,Socks,,,A classic clothing piece from Marques Boutique.,Fresh,
Everlasting Lace,2,Socks,,,A classic clothing piece from Marques Boutique.,Fresh,
Fearless Night,2,Socks,,,A classic clothing piece from Marques Boutique.,Cool,
Free Spirit,2,Socks,,,A classic clothing piece from Marques Boutique.,Sexy,
Monochrome Stripes,2,Socks,,,A classic clothing piece from Marques Boutique.,Cool,
White Tights,2,Socks,,,A classic clothing piece from Marques Boutique.,Fresh,
Bejeweled Sandals,2,Shoes,,,One of the initial items acquired upon arrival in Miraland.,Sweet,
Comfortable Flats,2,Shoes,,,A classic clothing piece from Marques Boutique.,Elegant,
Daily Exercise,2,Shoes,,,A classic clothing piece from Marques Boutique.,Fresh,
Skybound Heels,2,Shoes,,,A classic clothing piece from Marques Boutique.,Fresh,
Zappy Sweetheart,2,Shoes,,,A classic clothing piece from Marques Boutique.,Cool,
Floral Hoops,2,Hair Accessory,,,A classic clothing piece from Marques Boutique.,Elegant,
Starlit Diadem,2,Hair Accessory,,,One of the initial items acquired upon arrival in Miraland.,Elegant,
Starry Hairband,2,Hair Accessory,,,A classic clothing piece from Marques Boutique.,Cool,
Bestseller's Crown,2,Headwear,,,A classic clothing piece from Marques Boutique.,Cool,
Superstar Vibes,2,Headwear,,,One of the initial items acquired upon arrival in Miraland.,Sexy,
Serene Bloom,2,Earrings,,,A classic clothing piece from Marques Boutique.,Fresh,
Wings of Longing,2,Earrings,,,A classic clothing piece from Marques Boutique.,Sweet,
Cherished Moment,2,Neckwear,,,A classic clothing piece from Marques Boutique.,Elegant,
Lucky Knot,2,Bracelet,,,A piece of journey anecdote.,Elegant,
Pink Pearls,2,Bracelet,,,A classic clothing piece from Marques Boutique.,Sweet,
Snowflake Bracelet,2,Bracelet,,,A classic clothing piece from Marques Boutique.,Elegant,
